x	y	z
1883	-936	-33
450	41	-2297
342	-71	-1411
-55	2085	-1105
-495	419	2243
14	-418	1507
-908	-675	1565
-1032	-1248	-1078
-1079	791	1983
325	69	1989
627	643	1776
-199	-2346	590
-1798	579	1041
-163	223	-2031
-572	777	-2106
349	-487	-1683
-1452	-34	1113
-252	163	-1532
1855	308	-633
1980	77	507
-147	1428	1022
973	-572	1650
-1151	-1379	-1091
-156	-1012	-1695
163	2083	1416
-804	-861	-1224
1646	-964	-149
-2087	-182	469
-1101	1213	-1433
96	-1774	584
-276	-377	-1901
41	3	-1870
-729	595	1639
11	273	2298
-450	1232	-1684
-566	-20	-1426
-998	-344	1837
2083	-783	-1064
-657	506	1843
2181	1141	147
568	813	-2170
365	1730	-1425
-388	1694	1069
55	1254	-1952
2241	99	-164
-75	-51	1813
1905	694	36
344	991	1808
-1404	-259	-1435
331	176	-1852
-887	-18	2177
-1416	617	-1045
-487	-1631	-864
-93	-196	-2362
706	-614	2116
-2114	1256	13
-1023	521	1782
2653	-191	-686
-769	572	1842
-478	305	2505
66	-201	1942
-1937	-1533	-390
507	-72	2363
-1523	-94	-312
536	2419	-73
230	-538	2062
190	-698	-1603
705	-380	-2219
-397	325	1505
424	-1405	1074
-215	1015	2354
187	1879	1225
1701	-743	-581
903	350	-1341
490	1171	-2038
461	1816	-485
48	202	1994
477	137	-1466
1264	-16	-1892
-1489	-1183	-1163
-323	426	1716
486	-1995	-1347
769	-2004	1007
-592	-484	1238
63	-694	2086
409	-448	-1285
290	-456	1754
-1055	-455	1311
520	-1055	-1668
1413	-1186	-923
1995	-120	795
-836	-1858	1254
27	1552	-1067
89	1268	1719
1142	542	-1242
-1395	1884	-708
1002	-1633	13
-808	-249	-1462
-38	2127	-1525
879	-1387	900
