x	y	z
533	-261	-108
375	41	-797
42	-296	14
-55	885	-205
-345	419	743
14	-343	7
-308	-300	215
-282	-573	-28
-554	566	633
-125	-231	564
477	418	351
-274	-921	215
-523	129	366
-13	223	-531
-497	177	-756
-176	-112	-333
-552	191	-87
-327	163	-32
505	-292	-258
555	377	357
78	3	422
598	-347	225
-326	-479	-191
69	-562	-270
13	883	516
-279	-261	51
296	-439	301
-587	-407	469
-201	538	-458
21	-274	359
-276	-227	-401
341	3	-370
-354	370	214
-364	198	873
-300	632	-334
-116	280	-1
-98	-344	637
733	-558	-389
-207	356	418
831	466	147
268	363	-745
290	455	-600
-13	719	-56
130	279	-827
816	-276	-239
-375	99	388
405	469	36
344	391	458
-429	-184	-310
406	326	-427
-437	282	752
-591	-58	5
-187	-206	-489
-93	329	-937
481	-464	616
-764	581	-212
-348	-229	657
628	34	-461
-169	-178	792
-328	230	1005
-159	-51	442
-737	-633	-240
57	-297	863
-98	281	-312
311	919	-73
155	-388	562
-110	-398	-178
105	-380	-869
-322	325	5
199	-430	-51
-290	565	929
337	829	175
426	-143	-131
-72	275	-216
340	346	-838
386	316	-485
198	-23	494
-48	-163	-116
514	-241	-617
-664	-358	-263
-173	426	216
186	-720	-597
169	-354	407
-67	-34	-37
363	-319	661
-266	-73	-10
215	219	404
-80	-380	186
-80	-230	-543
288	-586	-98
720	-345	45
-11	-733	654
-48	427	-92
14	518	444
-58	92	-417
-345	834	-408
177	-433	163
-433	-324	-37
-38	852	-700
204	-187	300
