#i	distances
0	661.773
1	663.377
2	665.996
3	669.638
4	674.254
5	679.865
6	686.432
7	693.945
8	702.344
9	711.624
10	721.744
11	732.686
12	744.447
13	756.962
14	770.208
15	784.161
16	798.784
17	814.051
18	829.925
19	846.372
20	863.359
21	880.845
22	898.823
23	917.257
24	936.095
25	955.315
26	974.925
27	994.882
28	1015.16
29	1035.73
30	1056.58
31	1077.69
32	1099.04
33	1120.62
34	1142.41
35	1164.4
36	1186.56
37	1208.91
38	1231.42
39	1254.09
40	1276.91
41	1299.87
42	1322.95
43	1346.15
44	1369.49
45	1392.92
46	1416.46
47	1440.11
48	1463.84
49	1487.67
50	1511.59
51	1535.58
52	1559.65
53	1583.8
54	1608.02
55	1632.3
56	1656.66
57	1681.07
58	1705.55
59	1730.08
60	1754.67
61	1779.31
62	1804.01
63	1828.74
64	1853.53
65	1878.36
66	1903.23
67	1928.15
68	1953.1
69	1978.09
70	2003.12
71	2028.19
72	2053.28
73	2078.42
74	2103.58
75	2128.78
76	2153.99
77	2179.25
78	2204.53
79	2229.82
80	2255.16
81	2280.52
82	2305.9
83	2331.3
84	2356.73
85	2382.18
86	2407.64
87	2433.13
88	2458.66
89	2484.18
90	2509.72
91	2535.3
92	2560.88
93	2586.48
94	2612.11
95	2637.74
96	2663.4
97	2689.06
98	2714.75
99	2740.44
100	2766.16
