#i	kin	pot	total
1	20028.5	0	20028.5
2	20028.5	43.3947	20071.9
3	20028.5	5.47124	20034
4	20028.5	-382.937	19645.6
5	20246.5	-150.864	20095.6
6	20166.5	49.1429	20215.6
7	20166.5	47.8791	20214.4
8	20166.5	24.9318	20191.4
9	20166.5	-27.712	20138.8
10	20171.5	-22.3374	20149.2
11	20171.5	19.6914	20191.2
12	20171.5	45.2139	20216.7
13	20171.5	48.9025	20220.4
14	20171.5	49.7958	20221.3
15	20171.5	10.2687	20181.8
16	20171.5	-256.802	19914.7
17	20287.5	33.139	20320.6
18	20287.5	51.8273	20339.3
19	20287.5	50.5091	20338
20	20287.5	51.2149	20338.7
21	20287.5	52.335	20339.8
22	20287.5	52.7692	20340.3
23	20287.5	52.8594	20340.4
24	20287.5	52.782	20340.3
25	20287.5	51.9144	20339.4
26	20287.5	50.1095	20337.6
27	20287.5	49.432	20336.9
28	20287.5	52.6207	20340.1
29	20287.5	53.1666	20340.7
30	20287.5	53.2429	20340.7
31	20287.5	53.2606	20340.8
32	20287.5	53.2572	20340.8
33	20287.5	53.2384	20340.7
34	20287.5	53.1995	20340.7
35	20287.5	53.1589	20340.7
36	20287.5	53.112	20340.6
37	20287.5	52.9977	20340.5
38	20287.5	52.8944	20340.4
39	20287.5	53.0275	20340.5
40	20287.5	53.1786	20340.7
41	20287.5	53.2335	20340.7
42	20287.5	53.2512	20340.8
43	20287.5	53.2593	20340.8
44	20287.5	53.2607	20340.8
45	20287.5	53.2593	20340.8
46	20287.5	53.25	20340.7
47	20287.5	53.2293	20340.7
48	20287.5	53.1987	20340.7
49	20287.5	53.1492	20340.6
50	20287.5	53.0856	20340.6
51	20287.5	52.9887	20340.5
52	20287.5	52.9207	20340.4
53	20287.5	52.8344	20340.3
54	20287.5	52.8304	20340.3
55	20287.5	52.8248	20340.3
56	20287.5	52.8961	20340.4
57	20287.5	52.9551	20340.5
58	20287.5	53.0385	20340.5
59	20287.5	53.092	20340.6
60	20287.5	53.1386	20340.6
61	20287.5	53.1585	20340.7
62	20287.5	53.1765	20340.7
63	20287.5	53.1924	20340.7
64	20287.5	53.2033	20340.7
65	20287.5	53.2116	20340.7
66	20287.5	53.225	20340.7
67	20287.5	53.2426	20340.7
68	20287.5	53.2514	20340.8
69	20287.5	53.2646	20340.8
70	20287.5	53.2791	20340.8
71	20287.5	53.291	20340.8
72	20287.5	53.3	20340.8
73	20287.5	53.3076	20340.8
74	20287.5	53.3152	20340.8
75	20287.5	53.321	20340.8
76	20287.5	53.3256	20340.8
77	20287.5	53.3293	20340.8
78	20287.5	53.3319	20340.8
79	20287.5	53.334	20340.8
80	20287.5	53.3359	20340.8
81	20287.5	53.3371	20340.8
82	20287.5	53.338	20340.8
83	20287.5	53.338	20340.8
84	20287.5	53.3378	20340.8
85	20287.5	53.3372	20340.8
86	20287.5	53.336	20340.8
87	20287.5	53.3346	20340.8
88	20287.5	53.3325	20340.8
89	20287.5	53.3305	20340.8
90	20287.5	53.3289	20340.8
91	20287.5	53.3283	20340.8
92	20287.5	53.3286	20340.8
93	20287.5	53.3288	20340.8
94	20287.5	53.3311	20340.8
95	20287.5	53.3331	20340.8
96	20287.5	53.3356	20340.8
97	20287.5	53.3382	20340.8
98	20287.5	53.3402	20340.8
99	20287.5	53.3422	20340.8
100	20287.5	53.3439	20340.8
